"wage","age","educ","exper","union","female","married","urban"
31.2062492370605,33,13,13,0,0,1,1
16.7437496185303,23,10,6,0,0,0,1
8.28750038146973,26,8,11,0,1,0,1
31.2062492370605,24,12,5,1,0,1,1
8.66250038146973,22,10,5,1,1,1,1
8.34375,56,8,41,1,0,1,1
8.34375,25,10,8,0,1,1,1
7.34375,24,0,17,0,0,0,1
8.34375,20,10,3,0,1,0,1
16.7437496185303,29,10,12,1,1,1,1
4.53749990463257,39,5,27,0,1,1,1
4.53749990463257,19,9,3,0,1,0,1
4.53749990463257,28,10,11,0,0,1,1
4.53749990463257,22,10,5,0,1,1,1
4.24375009536743,40,8,25,0,0,1,1
7.91249990463257,26,8,11,1,1,1,1
7.84375,54,10,37,1,0,1,1
8.34375,30,8,15,1,0,1,1
8.34375,34,8,19,1,1,1,1
7.84375,34,8,19,1,1,0,1
7.96875,46,6,33,1,1,0,1
7.71875,28,7,14,0,1,0,1
3.13953495025635,56,6,43,0,0,1,1
7.96875,21,7,7,0,1,0,1
8.66250038146973,31,10,14,1,0,1,1
8.34375,29,0,22,1,1,1,1
6.83750009536743,27,9,11,1,0,1,1
7.46875,23,9,7,0,0,0,1
7.96875,22,10,5,1,1,0,1
6.75595235824585,57,7,43,1,0,1,1
7.84375,26,10,9,1,1,0,1
7.96875,24,10,7,1,1,0,1
1.74374997615814,41,10,24,1,0,1,1
1.74374997615814,41,10,24,1,1,1,1
3.85795450210571,44,10,27,1,0,1,1
14.2437496185303,38,10,21,1,1,1,1
18.7062492370605,37,13,17,1,0,1,1
7.66249990463257,30,9,14,0,0,1,1
8.03750038146973,28,10,11,0,1,1,1
7.41249990463257,25,10,8,0,0,1,1
8.03750038146973,23,9,7,0,1,1,1
2.41249990463257,38,8,23,0,1,0,1
8.34375,30,5,18,0,1,1,1
8.34375,26,8,11,0,1,0,1
8.34375,23,10,6,0,1,0,1
6.16249990463257,37,12,18,0,0,1,1
9.39500045776367,34,11,16,0,0,1,1
7.703125,59,10,42,0,1,0,1
7.703125,29,12,10,0,0,0,1
5.65625,26,13,6,0,1,0,1
6.78749990463257,23,10,6,1,0,0,1
6.43229150772095,42,8,27,0,0,1,1
5,22,10,5,0,0,0,1
6.39499998092651,47,6,34,0,0,1,1
35.0374984741211,26,10,9,0,0,0,1
0.930000007152557,23,6,10,0,0,0,1
11.8900003433228,39,8,24,1,0,1,1
8.34375,40,1,32,1,0,0,1
5.65625,49,6,36,0,1,1,1
5.13541650772095,27,13,7,0,0,0,1
7.54166650772095,24,13,4,0,1,0,1
19.0375003814697,20,10,3,0,1,0,1
8.34375,29,10,12,0,0,0,1
3.22916674613953,23,10,6,0,0,1,1
0.604166686534882,24,10,7,0,0,0,1
5.65625,23,10,6,0,1,0,1
7.71875,30,10,13,0,1,0,1
16.7437496185303,60,10,43,0,0,1,1
15.9464282989502,38,13,18,0,0,0,1
8.66250038146973,32,12,13,0,1,0,1
16.7437496185303,25,13,5,1,1,0,1
8.03750038146973,44,5,32,0,1,1,1
13.7722225189209,25,10,8,0,0,0,1
8.125,30,10,13,0,1,1,1
13.953125,30,10,13,0,1,1,1
20.8333339691162,45,7,31,0,1,0,1
10.4166669845581,26,9,10,0,0,0,1
8.66250038146973,47,8,32,0,0,1,1
9.625,44,8,29,0,1,1,1
27.0812492370605,41,10,24,0,0,1,1
6.92999982833862,29,8,14,0,1,1,1
7.5,35,8,20,0,0,1,1
18.75,35,10,18,0,1,1,1
7.14285707473755,48,10,31,1,1,0,1
6.25,29,10,12,1,0,0,1
35.6642875671387,41,12,22,0,0,1,1
8.66250038146973,40,7,26,0,1,1,1
16.7437496185303,51,10,34,0,0,1,1
15.625,26,10,9,0,1,1,1
18.75,27,10,10,0,0,1,1
31.25,32,10,15,0,1,1,1
16.7437496185303,44,5,32,0,0,1,1
19.1357135772705,45,10,28,1,1,1,1
31.2062492370605,43,8,28,0,0,1,1
6.25,20,8,5,0,0,0,1
31.2062492370605,40,10,23,0,0,1,1
